iter	RMSE
0	0.03136495458
1	0.03128233137
2	0.03119517548
3	0.03114380385
4	0.03107081406
5	0.03100381075
6	0.03092642896
7	0.03086108698
8	0.03079740141
9	0.03073172118
10	0.03066267383
11	0.03058851773
12	0.0305174359
13	0.03044017284
14	0.03039017531
15	0.03035778099
16	0.0303000558
17	0.03023199956
18	0.03017398509
19	0.03011131556
20	0.03006931978
21	0.03000889027
22	0.02996162358
23	0.02989849531
24	0.02984892952
25	0.02980741378
26	0.02975432392
27	0.02970628641
28	0.02966825928
29	0.02962694695
30	0.02958527758
31	0.02954223099
32	0.02950389993
33	0.02943576864
34	0.02941845361
35	0.02936982401
36	0.02933556255
37	0.02928441665
38	0.02924065252
39	0.02919524898
40	0.02913688646
41	0.02909256594
42	0.02905579918
43	0.0290073113
44	0.02896690541
45	0.02893227302
46	0.02889775059
47	0.02886768984
48	0.02883795142
49	0.0287883376
50	0.02875627323
51	0.02872217187
52	0.02869276614
53	0.02866889548
54	0.02865327441
55	0.02862282162
56	0.02856772593
57	0.02851898557
58	0.02847804864
59	0.02843542837
60	0.02840345094
61	0.02836948427
62	0.02832144477
63	0.02828820762
64	0.02825550843
65	0.02822704487
66	0.02819528571
67	0.02818158322
68	0.02815079194
69	0.02811608419
70	0.02809705735
71	0.02806265949
72	0.02802753708
73	0.0280016067
74	0.02797672925
75	0.0279506086
76	0.02791783855
77	0.02790245953
78	0.02787482987
79	0.02784645662
80	0.02782294984
81	0.02780402019
82	0.02778613754
83	0.02775946227
84	0.02773469373
85	0.02770757661
86	0.02769112095
87	0.02766195159
88	0.02763627462
89	0.0276228366
90	0.0275924614
91	0.02756625433
92	0.02753473445
93	0.02750763421
94	0.02747656775
95	0.0274440096
96	0.02742315633
97	0.02741048083
98	0.02739166367
99	0.02736569699
100	0.02735571194
101	0.0273442875
102	0.02731195168
103	0.02729899201
104	0.02727788084
105	0.0272594756
106	0.02724230541
107	0.0272147657
108	0.02719558469
109	0.02717185621
110	0.02715580514
111	0.02714757265
112	0.02713565923
