Phase,Combo,Step,Model,N_Features,RMSE,R2,MAPE,MAE,TrainSec,Source
REF,REF_S1_only,1단계(초기만),CatBoost,2,0.03597209046434483,0.0318733576228134,0.004390742651008147,0.021909957539133315,0.24,base
REF,REF_S4_ALL,4단계(전체),LinearReg,8,0.026119530637328997,0.4895754495123942,0.002877343169932468,0.014351953449257894,0.01,base
REF,REF_S4_ALL,4단계(전체),SVR,8,0.026280178348398246,0.4832774266173425,0.002759346523388233,0.013749674125640859,0.01,base
REF,REF_S4_ALL,4단계(전체),RandomForest,8,0.023035140276700557,0.6030072819828725,0.002269619025373831,0.011333793269229534,0.18,base
REF,REF_S4_ALL,4단계(전체),XGBoost,8,0.02644792750854546,0.47665978349031735,0.0024734487846522907,0.012367729212687549,0.06,base
REF,REF_S4_ALL,4단계(전체),LightGBM,8,0.028649133849107413,0.3859216149566771,0.0030109609240617724,0.015031539645568888,0.07,base
REF,REF_S4_ALL,4단계(전체),CatBoost,8,0.0260162010670787,0.4936059679691077,0.002481349294690586,0.012386324024930518,0.28,base
P1,P1_S1+v25,2단계(초기+완전방전),FLAML(xgboost),4,0.02313496093199071,0.599559164447608,0.002640286275735657,0.013183056215139523,30.0,flaml_enhanced
REF,REF_S4_ALL,4단계(전체),FLAML(xgboost),8,0.025778881705279543,0.5028024668261258,0.0026130169192916473,0.01303438989199123,30.0,flaml_enhanced
P2,P2_v25_only,1단계(완전방전만),FLAML(rf),2,0.025303982629304042,0.5209524983527727,0.002873160712624042,0.01434647809495565,30.0,flaml_enhanced
P3,P3_S1v25_volt,2단계(전압만),FLAML(extra_tree),2,0.024895502905280406,0.536294095991088,0.0027554947722626378,0.013770313138172622,30.0,flaml_enhanced
P3,P3_v25_volt_1,1단계(v25전압1개),FLAML(extra_tree),1,0.025172910770241558,0.525902472101238,0.0026433665974403336,0.013206202207685857,30.0,flaml_enhanced
