cell_id,initial_voltage,initial_impedance,v42_voltage,v42_impedance,capacity
BS-LSBAT-S240629-0086,3.456,11.37,4.178,10.57,5.0331
BS-LSBAT-S240629-0087,3.456,11.87,4.178,11.35,5.0017
BS-LSBAT-S240629-0088,3.456,11.83,4.176,11.36,5.007
BS-LSBAT-S240629-0089,3.456,11.54,4.177,11.45,5.0327
BS-LSBAT-S240629-0090,3.456,11.02,4.179,10.48,5.01
BS-LSBAT-S240629-0091,3.456,11.39,4.179,10.89,5.01
BS-LSBAT-S240629-0092,3.456,11.59,4.179,11.52,4.9993
BS-LSBAT-S240629-0093,3.456,11.47,4.178,10.68,5.025
BS-LSBAT-S240629-0094,3.455,11.32,4.179,10.48,5.0315
BS-LSBAT-S240629-0095,3.456,11.28,4.178,10.47,5.0375
BS-LSBAT-S240629-0096,3.456,11.49,4.177,10.68,5.0107
BS-LSBAT-S240629-0097,3.456,11.69,4.177,11.27,5.0022
BS-LSBAT-S240629-0098,3.456,11.86,4.177,11.53,5.0182
BS-LSBAT-S240629-0099,3.456,11.75,4.177,11.65,5.0064
BS-LSBAT-S240629-0100,3.457,11.73,4.178,10.61,5.0264
BS-LSBAT-S240629-0101,3.457,11.48,4.178,10.57,5.0381
BS-LSBAT-S240629-0102,3.455,11.44,4.176,10.78,5.0131
BS-LSBAT-S240629-0103,3.456,11.4,4.176,10.79,5.0241
BS-LSBAT-S240629-0104,3.457,10.94,4.176,10.48,5.0387
BS-LSBAT-S240629-0105,3.457,10.96,4.178,10.58,5.0395
BS-LSBAT-S240629-0106,3.456,11.7,4.177,10.92,5.0234
BS-LSBAT-S240629-0107,3.456,11.78,4.178,11.62,5.0097
BS-LSBAT-S240629-0108,3.456,11.68,4.177,11.49,5.0101
BS-LSBAT-S240629-0109,3.456,11.57,4.178,11.46,5.0082
BS-LSBAT-S240629-0110,3.456,11.08,4.178,10.42,5.0354
BS-LSBAT-S240629-0111,3.456,11.3,4.176,10.57,5.0077
BS-LSBAT-S240629-0112,3.456,11.7,4.176,10.84,5.0073
BS-LSBAT-S240629-0113,3.456,11.4,4.177,10.64,5.0312
BS-LSBAT-S240629-0114,3.456,11.43,4.177,10.88,5.0374
BS-LSBAT-S240629-0115,3.456,11.49,4.178,10.62,5.0382
BS-LSBAT-S240629-0116,3.456,11.24,4.177,10.43,5.0401
BS-LSBAT-S240629-0117,3.456,11.7,4.177,11.37,5.0056
BS-LSBAT-S240629-0118,3.456,11.75,4.178,11.45,5.0143
BS-LSBAT-S240629-0119,3.456,11.71,4.177,11.54,5.0084
BS-LSBAT-S240629-0120,3.457,11.49,4.177,10.34,5.0404
BS-LSBAT-S240629-0121,3.456,11.15,4.179,10.57,5.0197
BS-LSBAT-S240629-0122,3.456,11.52,4.18,10.38,5.0291
BS-LSBAT-S240629-0123,3.456,11.32,4.18,10.57,5.0291
BS-LSBAT-S240629-0124,3.455,11.38,4.181,10.66,5.0383
BS-LSBAT-S240629-0125,3.456,11.13,4.18,10.58,5.0282
BS-LSBAT-S240629-0126,3.455,11.18,4.179,10.59,5.0508
BS-LSBAT-S240629-0127,3.456,11.75,4.179,11.34,5.0233
BS-LSBAT-S240629-0128,3.456,11.85,4.18,11.42,5.0107
BS-LSBAT-S240629-0129,3.456,11.71,4.181,11.27,5.0211
BS-LSBAT-S240629-0130,3.457,10.98,4.18,10.45,5.0518
BS-LSBAT-S240629-0131,3.457,11.24,4.18,10.72,5.0478
BS-LSBAT-S240629-0132,3.457,10.98,4.18,10.58,5.0325
BS-LSBAT-S240629-0133,3.457,11.04,4.181,10.68,5.049
BS-LSBAT-S240629-0134,3.457,11.06,4.181,10.61,5.0451
BS-LSBAT-S240629-0135,3.457,11.19,4.18,10.66,5.0327
BS-LSBAT-S240629-0136,3.457,10.89,4.179,10.54,5.0287
BS-LSBAT-S240629-0137,3.457,10.79,4.18,10.48,5.0468
BS-LSBAT-S240629-0138,3.457,11.07,4.18,10.68,5.05
BS-LSBAT-S240629-0139,3.457,10.93,4.18,10.54,5.0623
BS-LSBAT-S240629-0140,3.457,10.79,4.181,10.57,5.0471
BS-LSBAT-S240629-0141,3.457,11.19,4.18,10.76,5.0437
BS-LSBAT-S240629-0142,3.457,11.19,4.182,10.5,5.0468
BS-LSBAT-S240629-0143,3.457,11.14,4.181,10.54,5.0515
BS-LSBAT-S240629-0144,3.457,11.06,4.18,10.56,5.0444
BS-LSBAT-S240629-0145,3.457,10.83,4.18,10.28,5.0105
