cell_id,initial_voltage,initial_impedance,v42_voltage,v42_impedance,capacity
BS-LSBAT-S240629-0374,3.46,11.56,4.176,10.58,5.0504
BS-LSBAT-S240629-0375,3.46,11.64,4.177,10.56,5.0418
BS-LSBAT-S240629-0376,3.46,11.68,4.177,10.79,5.0822
BS-LSBAT-S240629-0377,3.46,11.75,4.177,10.72,5.0437
BS-LSBAT-S240629-0378,3.46,11.83,4.177,10.74,5.0448
BS-LSBAT-S240629-0379,3.46,11.96,4.177,10.78,5.0667
BS-LSBAT-S240629-0380,3.46,11.64,4.177,10.64,5.0612
BS-LSBAT-S240629-0381,3.46,11.6,4.178,10.66,5.0699
BS-LSBAT-S240629-0382,3.46,11.59,4.177,10.59,5.0366
BS-LSBAT-S240629-0383,3.46,11.57,4.177,10.55,5.0384
BS-LSBAT-S240629-0384,3.46,11.57,4.176,10.62,5.0489
BS-LSBAT-S240629-0385,3.46,11.63,4.173,10.77,5.0153
BS-LSBAT-S240629-0386,3.46,11.8,4.174,10.67,5.0221
BS-LSBAT-S240629-0387,3.46,11.51,4.173,10.78,5.0305
BS-LSBAT-S240629-0388,3.46,11.85,4.174,10.73,5.0458
BS-LSBAT-S240629-0389,3.46,11.61,4.174,10.7,5.0566
BS-LSBAT-S240629-0390,3.46,11.52,4.173,10.65,5.0473
BS-LSBAT-S240629-0391,3.46,11.83,4.173,10.78,5.0195
BS-LSBAT-S240629-0392,3.46,11.31,4.173,10.51,5.0213
BS-LSBAT-S240629-0393,3.46,11.66,4.175,11.0,5.0354
BS-LSBAT-S240629-0394,3.46,11.92,4.174,10.76,5.0336
BS-LSBAT-S240629-0395,3.46,11.22,4.174,10.66,5.0146
BS-LSBAT-S240629-0396,3.46,11.59,4.174,10.65,5.0503
BS-LSBAT-S240629-0397,3.46,11.02,4.175,10.59,5.0352
BS-LSBAT-S240629-0398,3.46,11.73,4.174,10.72,5.0387
BS-LSBAT-S240629-0399,3.46,11.57,4.173,11.0,5.0376
BS-LSBAT-S240629-0400,3.46,11.75,4.173,11.28,5.0197
BS-LSBAT-S240629-0401,3.46,11.33,4.176,10.49,5.036
BS-LSBAT-S240629-0402,3.46,11.24,4.177,10.56,5.0609
BS-LSBAT-S240629-0403,3.46,11.75,4.176,11.37,5.0174
BS-LSBAT-S240629-0404,3.46,11.84,4.176,10.77,5.0314
BS-LSBAT-S240629-0405,3.46,11.75,4.177,11.15,5.0359
BS-LSBAT-S240629-0406,3.46,11.24,4.175,10.72,5.056
BS-LSBAT-S240629-0407,3.46,11.77,4.175,10.81,5.0374
BS-LSBAT-S240629-0408,3.46,11.74,4.175,10.96,5.0171
BS-LSBAT-S240629-0409,3.46,11.71,4.177,11.25,5.0172
BS-LSBAT-S240629-0410,3.46,11.79,4.176,10.9,5.0221
BS-LSBAT-S240629-0411,3.46,11.23,4.178,10.68,5.0612
BS-LSBAT-S240629-0412,3.46,11.12,4.177,10.51,5.0428
BS-LSBAT-S240629-0413,3.46,11.66,4.178,10.89,4.9858
BS-LSBAT-S240629-0414,3.46,11.71,4.178,11.41,5.0326
BS-LSBAT-S240629-0415,3.46,11.8,4.176,10.94,5.0087
BS-LSBAT-S240629-0416,3.46,11.14,4.175,10.55,5.0296
BS-LSBAT-S240629-0417,3.46,11.23,4.177,10.54,5.0355
BS-LSBAT-S240629-0418,3.46,11.72,4.178,10.53,5.0297
BS-LSBAT-S240629-0419,3.46,11.72,4.177,10.95,5.018
BS-LSBAT-S240629-0420,3.46,11.64,4.178,10.72,5.0514
BS-LSBAT-S240629-0421,3.46,11.3,4.178,10.41,5.0455
BS-LSBAT-S240629-0422,3.46,11.75,4.177,10.67,5.0107
BS-LSBAT-S240629-0423,3.46,11.56,4.177,10.78,5.0392
BS-LSBAT-S240629-0424,3.46,11.73,4.177,10.68,5.0461
BS-LSBAT-S240629-0425,3.46,11.79,4.177,10.63,5.0353
BS-LSBAT-S240629-0426,3.46,11.15,4.177,10.5,5.0418
BS-LSBAT-S240629-0427,3.46,11.77,4.178,10.74,5.023
BS-LSBAT-S240629-0428,3.46,11.19,4.177,10.41,5.0349
BS-LSBAT-S240629-0429,3.46,11.73,4.178,10.82,5.0177
BS-LSBAT-S240629-0430,3.46,11.63,4.178,11.14,5.0279
BS-LSBAT-S240629-0431,3.46,11.61,4.178,10.53,5.0526
BS-LSBAT-S240629-0432,3.46,11.61,4.176,10.49,5.0193
BS-LSBAT-S240629-0433,3.46,11.79,4.178,10.85,5.0069
BS-LSBAT-S240629-0434,3.46,11.77,4.178,10.75,5.0257
BS-LSBAT-S240629-0435,3.46,11.81,4.178,10.84,5.013
BS-LSBAT-S240629-0436,3.46,11.53,4.178,10.39,5.0497
BS-LSBAT-S240629-0437,3.46,11.42,4.178,10.43,5.012
BS-LSBAT-S240629-0438,3.46,11.14,4.177,10.42,5.0104
BS-LSBAT-S240629-0439,3.46,11.78,4.177,10.49,5.0092
BS-LSBAT-S240629-0440,3.46,11.83,4.178,10.52,5.0134
BS-LSBAT-S240629-0441,3.46,11.7,4.179,10.77,5.0065
BS-LSBAT-S240629-0442,3.46,11.3,4.179,10.3,5.0482
BS-LSBAT-S240629-0443,3.46,11.67,4.178,10.34,5.0513
BS-LSBAT-S240629-0444,3.46,11.7,4.179,10.68,5.0132
BS-LSBAT-S240629-0445,3.46,11.3,4.179,10.37,5.0472
BS-LSBAT-S240629-0446,3.46,11.52,4.176,10.33,5.024
BS-LSBAT-S240629-0447,3.46,11.14,4.179,10.39,5.0404
BS-LSBAT-S240629-0448,3.46,11.25,4.178,10.34,5.0255
BS-LSBAT-S240629-0449,3.46,11.56,4.179,10.41,5.0088
BS-LSBAT-S240629-0450,3.46,11.83,4.178,10.81,5.0371
BS-LSBAT-S240629-0451,3.46,11.9,4.178,10.48,5.0168
BS-LSBAT-S240629-0452,3.46,11.22,4.179,10.23,5.0622
BS-LSBAT-S240629-0453,3.46,11.8,4.179,10.69,5.0407
BS-LSBAT-S240629-0454,3.46,11.58,4.177,10.76,5.0379
BS-LSBAT-S240629-0455,3.46,11.81,4.178,10.96,5.0293
BS-LSBAT-S240629-0456,3.46,11.5,4.179,10.46,5.0412
BS-LSBAT-S240629-0457,3.46,11.49,4.18,10.43,5.0568
BS-LSBAT-S240629-0458,3.46,11.65,4.18,10.5,5.0536
BS-LSBAT-S240629-0459,3.46,11.8,4.18,10.46,5.0346
BS-LSBAT-S240629-0460,3.46,11.54,4.179,10.41,5.026
BS-LSBAT-S240629-0461,3.46,11.17,4.18,10.34,5.0556
BS-LSBAT-S240629-0462,3.46,11.01,4.178,10.37,5.0448
BS-LSBAT-S240629-0463,3.46,11.52,4.179,10.69,5.0259
BS-LSBAT-S240629-0464,3.46,11.78,4.178,10.46,5.0013
BS-LSBAT-S240629-0465,3.46,11.48,4.18,10.17,5.0042
BS-LSBAT-S240629-0466,3.46,10.94,4.179,10.28,5.0036
BS-LSBAT-S240629-0467,3.46,11.73,4.18,10.62,5.0122
BS-LSBAT-S240629-0468,3.46,11.56,4.181,10.43,5.0243
BS-LSBAT-S240629-0469,3.46,11.61,4.18,10.92,5.0009
BS-LSBAT-S240629-0470,3.46,11.89,4.18,10.89,4.9992
BS-LSBAT-S240629-0471,3.46,11.39,4.18,10.38,5.0111
BS-LSBAT-S240629-0472,3.46,11.45,4.18,10.29,5.0139
BS-LSBAT-S240629-0473,3.46,11.83,4.181,10.46,5.0443
BS-LSBAT-S240629-0474,3.46,11.78,4.181,10.53,4.9908
BS-LSBAT-S240629-0475,3.46,11.7,4.182,10.64,5.0225
BS-LSBAT-S240629-0476,3.46,11.66,4.18,10.39,5.0031
BS-LSBAT-S240629-0477,3.46,11.39,4.181,10.27,5.0173
BS-LSBAT-S240629-0478,3.46,11.06,4.179,10.38,5.0087
BS-LSBAT-S240629-0479,3.46,11.16,4.18,10.3,5.0039
BS-LSBAT-S240629-0480,3.46,11.67,4.179,10.56,5.0159
BS-LSBAT-S240629-0481,3.46,11.54,4.177,10.48,5.0341
BS-LSBAT-S240629-0482,3.46,11.16,4.177,10.43,5.0473
BS-LSBAT-S240629-0483,3.46,11.6,4.177,10.71,4.9334
BS-LSBAT-S240629-0484,3.46,11.89,4.178,10.83,5.0373
BS-LSBAT-S240629-0485,3.46,11.72,4.177,10.84,5.0423
BS-LSBAT-S240629-0486,3.46,11.62,4.176,10.34,5.0331
BS-LSBAT-S240629-0487,3.46,11.75,4.176,10.59,5.0289
BS-LSBAT-S240629-0488,3.46,11.4,4.176,10.4,5.0415
BS-LSBAT-S240629-0489,3.46,11.64,4.178,10.99,5.0287
BS-LSBAT-S240629-0490,3.46,11.69,4.178,10.81,5.0296
BS-LSBAT-S240629-0491,3.46,11.29,4.178,10.41,5.0565
BS-LSBAT-S240629-0492,3.46,11.42,4.177,10.47,5.0535
BS-LSBAT-S240629-0493,3.46,11.61,4.178,10.34,5.067
BS-LSBAT-S240629-0494,3.46,11.71,4.177,10.39,5.0476
BS-LSBAT-S240629-0495,3.46,11.67,4.177,10.57,5.0374
BS-LSBAT-S240629-0496,3.46,11.82,4.176,10.65,5.0269
BS-LSBAT-S240629-0497,3.46,11.13,4.178,10.45,5.045
BS-LSBAT-S240629-0498,3.46,11.38,4.178,10.41,5.0549
BS-LSBAT-S240629-0499,3.46,11.71,4.178,10.74,5.0512
BS-LSBAT-S240629-0500,3.46,11.69,4.178,10.79,5.0498
BS-LSBAT-S240629-0501,3.46,11.5,4.179,10.43,5.0557
BS-LSBAT-S240629-0502,3.46,11.65,4.178,10.42,5.0527
BS-LSBAT-S240629-0503,3.46,11.37,4.178,10.28,5.0573
BS-LSBAT-S240629-0504,3.46,11.73,4.179,10.89,5.0589
BS-LSBAT-S240629-0505,3.46,11.62,4.179,10.53,5.0499
BS-LSBAT-S240629-0506,3.46,11.16,4.18,10.47,5.0694
BS-LSBAT-S240629-0507,3.46,11.85,4.179,10.87,5.0193
BS-LSBAT-S240629-0508,3.46,11.39,4.179,10.47,5.0543
BS-LSBAT-S240629-0509,3.46,11.76,4.18,10.56,5.0679
BS-LSBAT-S240629-0510,3.46,11.7,4.178,10.79,5.0451
BS-LSBAT-S240629-0511,3.46,11.38,4.178,10.4,5.0682
BS-LSBAT-S240629-0512,3.46,11.3,4.177,10.49,5.0409
BS-LSBAT-S240629-0513,3.46,11.35,4.179,10.31,5.0482
BS-LSBAT-S240629-0514,3.46,11.57,4.179,10.72,5.0372
BS-LSBAT-S240629-0515,3.46,11.94,4.178,10.76,5.0326
BS-LSBAT-S240629-0516,3.45,11.79,4.179,10.87,5.009
BS-LSBAT-S240629-0517,3.46,11.15,4.179,10.27,5.0391
BS-LSBAT-S240629-0518,3.46,11.35,4.178,10.33,5.058
BS-LSBAT-S240629-0519,3.46,11.55,4.179,10.49,5.0373
BS-LSBAT-S240629-0520,3.46,11.53,4.179,10.46,5.0441
BS-LSBAT-S240629-0521,3.456,11.04,4.179,10.34,5.0317
BS-LSBAT-S240629-0522,3.456,10.93,4.179,10.41,5.0428
BS-LSBAT-S240629-0523,3.456,11.61,4.179,10.59,5.035
BS-LSBAT-S240629-0524,3.456,11.67,4.179,10.57,5.0218
BS-LSBAT-S240629-0525,3.456,11.59,4.179,10.84,5.0107
BS-LSBAT-S240629-0526,3.456,11.34,4.178,10.51,5.0427
BS-LSBAT-S240629-0527,3.456,11.6,4.178,10.54,5.014
BS-LSBAT-S240629-0528,3.456,10.95,4.177,10.4,5.0403
BS-LSBAT-S240629-0529,3.456,10.91,4.173,10.7,5.0248
BS-LSBAT-S240629-0530,3.455,11.45,4.174,10.62,5.0347
BS-LSBAT-S240629-0531,3.456,10.84,4.174,10.58,5.0201
BS-LSBAT-S240629-0532,3.456,10.81,4.175,10.65,5.0413
BS-LSBAT-S240629-0533,3.456,11.52,4.174,10.74,5.0264
BS-LSBAT-S240629-0534,3.457,11.63,4.173,11.14,5.0203
BS-LSBAT-S240629-0535,3.456,11.51,4.173,10.82,5.0206
BS-LSBAT-S240629-0536,3.456,10.92,4.174,10.65,5.0454
BS-LSBAT-S240629-0537,3.456,11.16,4.174,10.75,5.0461
BS-LSBAT-S240629-0538,3.456,11.06,4.175,10.7,5.0427
BS-LSBAT-S240629-0539,3.456,11.22,4.175,10.8,5.0475
BS-LSBAT-S240629-0540,3.456,11.16,4.174,10.81,5.044
BS-LSBAT-S240629-0541,3.456,10.8,4.177,10.71,5.0319
BS-LSBAT-S240629-0542,3.455,10.8,4.174,10.62,5.0609
BS-LSBAT-S240629-0543,3.456,11.78,4.174,11.45,5.0311
BS-LSBAT-S240629-0544,3.456,11.57,4.173,11.12,5.0094
BS-LSBAT-S240629-0545,3.456,11.55,4.176,11.65,5.0026
BS-LSBAT-S240629-0546,3.456,11.12,4.176,10.75,5.0278
BS-LSBAT-S240629-0547,3.456,11.27,4.175,10.72,5.0373
BS-LSBAT-S240629-0548,3.456,11.35,4.176,10.86,5.0458
BS-LSBAT-S240629-0549,3.456,11.31,4.176,10.68,5.0437
BS-LSBAT-S240629-0550,3.456,10.99,4.175,10.82,5.0261
BS-LSBAT-S240629-0551,3.456,10.86,4.177,10.68,5.0389
BS-LSBAT-S240629-0552,3.456,11.02,4.176,10.73,5.0344
BS-LSBAT-S240629-0553,3.455,11.5,4.176,10.97,5.0344
BS-LSBAT-S240629-0554,3.456,11.76,4.177,11.22,5.0054
BS-LSBAT-S240629-0555,3.456,11.6,4.177,11.49,5.0053
BS-LSBAT-S240629-0556,3.456,11.4,4.176,10.77,5.0292
BS-LSBAT-S240629-0557,3.456,10.83,4.178,10.56,5.0333
BS-LSBAT-S240629-0558,3.456,11.01,4.177,10.73,5.0421
BS-LSBAT-S240629-0559,3.456,11.19,4.175,10.76,5.0442
BS-LSBAT-S240629-0560,3.456,11.35,4.175,10.83,5.0249
BS-LSBAT-S240629-0561,3.456,10.74,4.178,10.41,5.0241
BS-LSBAT-S240629-0562,3.456,11.48,4.177,10.86,5.0177
BS-LSBAT-S240629-0563,3.456,11.51,4.177,10.61,5.0135
BS-LSBAT-S240629-0564,3.456,11.39,4.177,10.54,5.0139
BS-LSBAT-S240629-0565,3.456,11.75,4.177,11.07,5.0171
BS-LSBAT-S240629-0566,3.456,11.13,4.176,10.56,5.0356
BS-LSBAT-S240629-0567,3.456,11.12,4.177,10.65,5.0543
BS-LSBAT-S240629-0568,3.456,11.52,4.178,10.73,5.0412
BS-LSBAT-S240629-0569,3.455,11.71,4.177,11.1,5.0322
BS-LSBAT-S240629-0570,3.456,11.34,4.178,10.71,5.0407
BS-LSBAT-S240629-0571,3.455,10.92,4.178,10.53,5.0581
BS-LSBAT-S240629-0572,3.456,11.38,4.177,10.72,5.0251
BS-LSBAT-S240629-0573,3.456,11.39,4.178,10.76,5.0414
BS-LSBAT-S240629-0574,3.456,11.47,4.179,10.98,5.0188
BS-LSBAT-S240629-0575,3.456,11.72,4.178,10.98,5.0184
BS-LSBAT-S240629-0576,3.456,11.37,4.176,10.61,5.0285
BS-LSBAT-S240629-0577,3.456,10.87,4.177,10.68,5.0118
BS-LSBAT-S240629-0578,3.456,10.97,4.177,10.7,5.0214
BS-LSBAT-S240629-0579,3.456,11.53,4.176,11.53,4.9874
BS-LSBAT-S240629-0580,3.455,11.16,4.177,10.6,5.0544
BS-LSBAT-S240629-0581,3.456,10.77,4.178,10.5,5.0574
BS-LSBAT-S240629-0582,3.456,11.44,4.177,10.85,5.0089
BS-LSBAT-S240629-0583,3.456,11.47,4.177,10.95,5.005
BS-LSBAT-S240629-0584,3.456,11.65,4.177,10.9,4.9787
BS-LSBAT-S240629-0585,3.456,11.4,4.178,10.65,5.029
BS-LSBAT-S240629-0586,3.456,10.84,4.178,10.6,5.0373
BS-LSBAT-S240629-0587,3.456,10.79,4.178,10.68,5.0388
BS-LSBAT-S240629-0588,3.456,10.97,4.177,10.67,5.0171
BS-LSBAT-S240629-0589,3.456,10.94,4.178,10.62,5.028
BS-LSBAT-S240629-0590,3.452,11.25,4.176,10.56,5.0399
BS-LSBAT-S240629-0591,3.456,10.72,4.177,10.58,5.0254
BS-LSBAT-S240629-0592,3.456,11.23,4.176,10.86,4.9699
BS-LSBAT-S240629-0593,3.456,11.47,4.179,11.14,4.9728
BS-LSBAT-S240629-0594,3.456,11.61,4.179,11.03,4.98
BS-LSBAT-S240629-0595,3.456,11.43,4.178,10.72,4.9794
BS-LSBAT-S240629-0596,3.455,11.59,4.179,11.54,4.9706
BS-LSBAT-S240629-0597,3.456,11.01,4.179,10.55,5.0209
BS-LSBAT-S240629-0598,3.456,10.92,4.178,10.53,5.002
BS-LSBAT-S240629-0599,3.455,11.1,4.178,10.6,5.0189
BS-LSBAT-S240629-0600,3.456,11.09,4.178,10.59,5.0192
BS-LSBAT-S240629-0601,3.456,10.66,4.18,10.57,5.0314
BS-LSBAT-S240629-0602,3.456,10.92,4.18,10.62,5.0152
BS-LSBAT-S240629-0603,3.456,11.27,4.179,10.55,5.05
BS-LSBAT-S240629-0604,3.456,11.52,4.179,10.96,4.9871
BS-LSBAT-S240629-0605,3.456,11.19,4.18,10.72,4.9973
BS-LSBAT-S240629-0606,3.455,11.58,4.178,10.81,4.9757
BS-LSBAT-S240629-0607,3.456,10.9,4.178,10.72,5.0217
BS-LSBAT-S240629-0608,3.456,10.98,4.177,10.49,5.0163
BS-LSBAT-S240629-0609,3.456,10.77,4.177,10.58,5.0434
BS-LSBAT-S240629-0610,3.456,11.03,4.177,10.63,5.0454
BS-LSBAT-S240629-0611,3.456,11.08,4.176,10.48,5.0391
BS-LSBAT-S240629-0612,3.456,11.32,4.176,10.62,5.0225
BS-LSBAT-S240629-0613,3.456,11.34,4.177,11.18,5.0151
BS-LSBAT-S240629-0614,3.456,10.98,4.176,10.43,5.0304
BS-LSBAT-S240629-0615,3.456,11.3,4.176,10.74,5.0154
BS-LSBAT-S240629-0616,3.456,11.29,4.176,11.12,5.0061
BS-LSBAT-S240629-0617,3.456,11.59,4.177,11.05,5.018
BS-LSBAT-S240629-0618,3.456,11.07,4.178,10.63,5.0452
BS-LSBAT-S240629-0619,3.456,11.18,4.179,10.58,5.0673
BS-LSBAT-S240629-0620,3.456,11.38,4.177,10.87,5.0467
BS-LSBAT-S240629-0621,3.455,11.2,4.178,10.67,5.0437
BS-LSBAT-S240629-0622,3.456,11.57,4.177,10.88,4.9985
BS-LSBAT-S240629-0623,3.456,11.62,4.177,10.7,5.0289
BS-LSBAT-S240629-0624,3.456,11.69,4.176,10.72,4.9921
BS-LSBAT-S240629-0625,3.456,11.3,4.178,11.02,4.9976
BS-LSBAT-S240629-0626,3.456,11.64,4.177,10.66,5.0171
BS-LSBAT-S240629-0627,3.456,11.46,4.177,11.07,5.0113
BS-LSBAT-S240629-0628,3.456,11.05,4.178,10.8,5.012
BS-LSBAT-S240629-0629,3.455,11.32,4.178,10.61,5.0433
BS-LSBAT-S240629-0630,3.456,11.18,4.177,10.81,5.0159
BS-LSBAT-S240629-0631,3.456,11.09,4.177,10.67,5.0393
BS-LSBAT-S240629-0632,3.455,11.03,4.178,10.75,5.0179
BS-LSBAT-S240629-0633,3.456,11.43,4.178,10.45,5.0515
BS-LSBAT-S240629-0634,3.457,10.74,4.178,10.55,5.0051
BS-LSBAT-S240629-0635,3.456,11.12,4.178,10.52,5.0666
BS-LSBAT-S240629-0636,3.456,11.4,4.178,10.6,5.0404
BS-LSBAT-S240629-0637,3.455,11.46,4.179,11.2,5.0087
BS-LSBAT-S240629-0638,3.456,11.47,4.177,11.04,5.0424
BS-LSBAT-S240629-0639,3.456,11.14,4.177,10.93,5.0294
BS-LSBAT-S240629-0640,3.456,11.13,4.176,10.54,5.0304
BS-LSBAT-S240629-0641,3.456,11.46,4.178,10.65,5.0479
BS-LSBAT-S240629-0642,3.456,10.68,4.178,10.73,5.0223
BS-LSBAT-S240629-0643,3.456,11.13,4.178,10.5,5.0452
BS-LSBAT-S240629-0644,3.456,11.42,4.178,10.67,5.0428
BS-LSBAT-S240629-0645,3.456,10.9,4.179,10.69,5.0061
BS-LSBAT-S240629-0646,3.456,11.17,4.177,10.63,5.0301
BS-LSBAT-S240629-0647,3.456,11.16,4.178,10.66,5.0387
BS-LSBAT-S240629-0648,3.455,11.61,4.178,11.37,5.0057
BS-LSBAT-S240629-0649,3.455,11.54,4.178,10.86,5.0365
BS-LSBAT-S240629-0650,3.455,11.48,4.179,10.65,5.0428
BS-LSBAT-S240629-0651,3.457,11.23,4.179,10.8,5.0469
BS-LSBAT-S240629-0652,3.457,11.61,4.179,11.16,5.0143
BS-LSBAT-S240629-0653,3.457,11.47,4.179,11.42,5.0112
BS-LSBAT-S240629-0654,3.453,11.47,4.178,10.74,5.0254
BS-LSBAT-S240629-0655,3.456,11.26,4.178,10.62,5.0411
BS-LSBAT-S240629-0656,3.457,11.67,4.177,11.08,5.0121
BS-LSBAT-S240629-0657,3.456,11.08,4.177,10.68,4.9727
BS-LSBAT-S240629-0658,3.455,11.27,4.177,10.46,4.9953
BS-LSBAT-S240629-0659,3.456,11.2,4.176,10.63,4.9655
BS-LSBAT-S240629-0660,3.456,11.61,4.177,10.86,4.9668
BS-LSBAT-S240629-0661,3.457,11.49,4.177,11.06,4.9855
BS-LSBAT-S240629-0662,3.457,11.67,4.176,11.22,4.9678
BS-LSBAT-S240629-0663,3.457,11.47,4.176,10.96,4.9598
BS-LSBAT-S240629-0664,3.456,11.64,4.176,10.91,4.9795
BS-LSBAT-S240629-0665,3.465,11.27,4.177,10.58,4.9784
BS-LSBAT-S240629-0666,3.457,11.5,4.178,10.69,4.9684
BS-LSBAT-S240629-0667,3.465,11.54,4.177,10.73,5.013
BS-LSBAT-S240629-0668,3.455,11.41,4.177,10.55,4.9848
BS-LSBAT-S240629-0669,3.456,11.07,4.178,10.53,4.9779
BS-LSBAT-S240629-0670,3.456,11.46,4.176,10.76,4.9746
BS-LSBAT-S240629-0671,3.456,11.54,4.177,10.6,4.9772
BS-LSBAT-S240629-0672,3.457,11.48,4.176,11.19,4.9681
BS-LSBAT-S240629-0673,3.457,11.26,4.176,11.11,5.0099
BS-LSBAT-S240629-0674,3.456,11.45,4.176,10.81,5.0218
BS-LSBAT-S240629-0675,3.456,11.44,4.176,10.7,5.0127
BS-LSBAT-S240629-0676,3.457,11.55,4.176,11.23,5.0203
BS-LSBAT-S240629-0677,3.456,11.5,4.176,10.77,5.0316
BS-LSBAT-S240629-0678,3.456,11.21,4.175,10.74,5.0029
BS-LSBAT-S240629-0679,3.456,11.13,4.176,10.64,5.0446
BS-LSBAT-S240629-0680,3.456,11.19,4.176,10.69,5.0186
BS-LSBAT-S240629-0681,3.456,11.53,4.176,10.83,5.0234
BS-LSBAT-S240629-0682,3.457,11.67,4.177,11.23,5.0114
BS-LSBAT-S240629-0683,3.457,11.6,4.177,11.26,5.0113
BS-LSBAT-S240629-0684,3.456,11.26,4.176,10.89,5.0223
BS-LSBAT-S240629-0685,3.456,11.58,4.177,10.81,5.0217
BS-LSBAT-S240629-0686,3.457,11.62,4.177,10.92,5.0032
BS-LSBAT-S240629-0687,3.456,11.44,4.176,10.88,5.0367
BS-LSBAT-S240629-0688,3.456,11.28,4.175,10.67,5.0106
BS-LSBAT-S240629-0689,3.456,11.49,4.176,10.75,5.0331
BS-LSBAT-S240629-0690,3.465,11.45,4.177,10.68,5.0364
BS-LSBAT-S240629-0691,3.456,11.61,4.175,10.56,5.034
BS-LSBAT-S240629-0692,3.457,11.44,4.177,11.09,5.0336
BS-LSBAT-S240629-0693,3.457,11.42,4.177,10.73,5.0292
BS-LSBAT-S240629-0694,3.456,11.59,4.176,10.71,4.9162
BS-LSBAT-S240629-0695,3.456,11.63,4.176,10.65,5.0212
BS-LSBAT-S240629-0696,3.457,11.31,4.176,10.74,5.0204
BS-LSBAT-S240629-0697,3.456,11.23,4.177,10.84,5.0361
BS-LSBAT-S240629-0698,3.456,11.05,4.177,10.65,5.0635
BS-LSBAT-S240629-0699,3.456,11.29,4.176,10.64,5.0502
BS-LSBAT-S240629-0700,3.456,11.37,4.176,10.7,5.0231
BS-LSBAT-S240629-0701,3.457,11.69,4.178,11.18,5.0187
BS-LSBAT-S240629-0702,3.457,11.63,4.177,11.08,5.0223
BS-LSBAT-S240629-0703,3.457,11.31,4.176,10.98,5.0486
BS-LSBAT-S240629-0704,3.456,11.36,4.175,10.67,5.0326
BS-LSBAT-S240629-0705,3.456,11.39,4.177,10.54,5.0257
BS-LSBAT-S240629-0706,3.457,11.45,4.178,10.81,5.0351
BS-LSBAT-S240629-0707,3.455,11.22,4.177,10.44,5.0299
BS-LSBAT-S240629-0708,3.456,11.22,4.177,10.48,4.998
BS-LSBAT-S240629-0709,3.456,11.3,4.179,10.67,5.0137
BS-LSBAT-S240629-0710,3.456,11.22,4.177,10.6,5.0173
BS-LSBAT-S240629-0711,3.457,11.63,4.177,11.04,4.9987
BS-LSBAT-S240629-0712,3.457,11.46,4.177,11.08,4.9875
BS-LSBAT-S240629-0713,3.457,11.31,4.179,10.66,5.0099
BS-LSBAT-S240629-0714,3.456,11.29,4.178,10.47,5.0249
BS-LSBAT-S240629-0715,3.455,11.46,4.179,10.82,5.0197
BS-LSBAT-S240629-0716,3.456,11.56,4.178,11.03,5.0103
BS-LSBAT-S240629-0717,3.455,11.5,4.178,10.63,5.0282
BS-LSBAT-S240629-0718,3.456,11.07,4.177,10.6,5.0184
BS-LSBAT-S240629-0719,3.456,11.43,4.177,10.6,5.0021
BS-LSBAT-S240629-0720,3.456,11.46,4.177,10.79,4.9792
BS-LSBAT-S240629-0721,3.457,11.51,4.179,10.56,5.0265
BS-LSBAT-S240629-0722,3.457,11.43,4.179,11.08,5.0339
BS-LSBAT-S240629-0723,3.457,11.4,4.179,10.96,5.019
BS-LSBAT-S240629-0724,3.456,11.68,4.178,10.88,5.0289
BS-LSBAT-S240629-0725,3.455,11.32,4.179,10.67,5.0259
BS-LSBAT-S240629-0726,3.456,11.41,4.178,10.58,5.0209
BS-LSBAT-S240629-0727,3.457,11.56,4.178,11.31,5.0209
BS-LSBAT-S240629-0728,3.456,11.58,4.178,10.77,5.0214
BS-LSBAT-S240629-0729,3.456,11.4,4.179,10.6,5.0364
BS-LSBAT-S240629-0730,3.455,11.49,4.179,10.63,5.0621
BS-LSBAT-S240629-0731,3.457,11.47,4.179,11.01,5.0455
BS-LSBAT-S240629-0732,3.457,11.44,4.18,11.25,5.0354
BS-LSBAT-S240629-0733,3.456,11.65,4.18,11.14,5.0497
BS-LSBAT-S240629-0734,3.455,11.36,4.18,10.62,5.0535
BS-LSBAT-S240629-0735,3.456,11.09,4.179,10.55,5.0568
BS-LSBAT-S240629-0736,3.457,11.58,4.178,10.83,5.0289
BS-LSBAT-S240629-0737,3.457,11.36,4.179,11.05,5.0152
BS-LSBAT-S240629-0738,3.456,11.52,4.179,10.99,5.0524
BS-LSBAT-S240629-0739,3.456,11.62,4.178,10.99,5.0349
BS-LSBAT-S240629-0740,3.455,11.42,4.179,10.65,5.0334
BS-LSBAT-S240629-0741,3.457,11.66,4.179,11.3,5.0289
BS-LSBAT-S240629-0742,3.457,11.59,4.178,10.88,5.0428
BS-LSBAT-S240629-0743,3.456,11.7,4.178,11.04,5.0485
BS-LSBAT-S240629-0744,3.455,11.77,4.179,10.91,5.045
BS-LSBAT-S240629-0745,3.456,11.19,4.179,10.43,5.0465
BS-LSBAT-S240629-0746,3.457,11.4,4.18,11.12,5.037
BS-LSBAT-S240629-0747,3.457,11.59,4.179,11.13,5.0455
BS-LSBAT-S240629-0748,3.456,10.91,4.18,10.47,5.0398
BS-LSBAT-S240629-0749,3.456,11.43,4.18,10.56,4.9662
BS-LSBAT-S240629-0750,3.456,11.14,4.179,10.62,5.041
BS-LSBAT-S240629-0751,3.457,11.55,4.179,11.1,5.0386
