iter	RMSE
0	0.0314790531
1	0.03094364929
2	0.03047653468
3	0.03002659764
4	0.02960489053
5	0.02925707602
6	0.02889922544
7	0.02863511316
8	0.02827292829
9	0.02781510081
10	0.02751740323
11	0.02716518342
12	0.02684625791
13	0.02659719394
14	0.02640990464
15	0.02601545653
16	0.02578299507
17	0.02560101809
18	0.02535897746
19	0.02507157681
20	0.02487919075
21	0.02464073163
22	0.02448612785
23	0.02428860131
24	0.02416524369
25	0.02406825034
26	0.02392501508
27	0.02376301546
28	0.02369032865
29	0.02350352354
30	0.02325612679
31	0.0230827097
32	0.02294272981
33	0.02278584249
34	0.02264923146
35	0.02253209661
36	0.02239195914
37	0.02224571073
38	0.02215408658
39	0.02207262534
40	0.02194212756
41	0.0218644295
42	0.02171493212
43	0.02162227679
44	0.02148897812
45	0.02136050958
46	0.02119245699
47	0.02106041265
48	0.02101664053
49	0.02092577378
50	0.02081542424
51	0.0207712543
52	0.02068282112
53	0.02063517024
54	0.02053066683
55	0.02047382838
56	0.02039553877
57	0.02028801277
58	0.02027573635
59	0.02015579276
60	0.02010136575
61	0.02007591552
62	0.01996845936
63	0.01993339055
64	0.01985933045
65	0.01980821773
66	0.0197288205
67	0.0196441679
68	0.01957963743
69	0.0195332547
70	0.01947731193
71	0.01933096276
72	0.01929856926
73	0.01926254941
74	0.01918689047
75	0.01916215503
76	0.01914165697
77	0.01911082174
78	0.01906759321
79	0.01895579163
80	0.01890672627
81	0.01885825264
82	0.0188154081
83	0.01873134156
84	0.01865886931
85	0.01861779286
86	0.01852081781
87	0.01848071034
88	0.01844981303
89	0.01838687812
90	0.0183597133
91	0.01826956528
92	0.01814071769
93	0.01810266207
94	0.01807994314
95	0.0180586742
96	0.0179950861
97	0.01780758603
98	0.0177642181
99	0.01768946661
100	0.01767290085
101	0.01763443739
102	0.01748920643
103	0.01746726496
104	0.01742819091
105	0.01739064394
106	0.01735051829
107	0.01717230818
108	0.01716555146
109	0.01714949013
110	0.0170616185
111	0.01700784726
112	0.01699471149
113	0.01696962286
114	0.01684277893
115	0.01675235581
116	0.01672219578
117	0.01671327172
118	0.01659277394
119	0.01656255877
120	0.01654658508
121	0.01653267012
122	0.01651991045
123	0.0164443308
124	0.01640234251
125	0.01638323782
126	0.01630531153
127	0.01627126513
128	0.01625817567
129	0.016240439
130	0.01621394467
131	0.01620537296
132	0.01614758556
133	0.01610978891
134	0.0160890618
135	0.01606903346
136	0.01605563359
137	0.01601580358
138	0.01600174986
139	0.01599454667
140	0.01598334665
141	0.01596537858
142	0.0159533538
143	0.01593173288
144	0.01591748006
145	0.01589972557
146	0.01587719155
147	0.01585683979
148	0.01585131744
149	0.01583197638
150	0.01570935929
151	0.0157011445
152	0.01567437505
153	0.01564995141
154	0.01556376379
155	0.01548877469
156	0.01541992616
157	0.01531706056
158	0.01529277931
159	0.01521649744
160	0.01519255807
161	0.01517473844
162	0.01516561599
163	0.01515721214
164	0.01514861461
165	0.01513806135
166	0.01508311833
167	0.0150700824
168	0.01505353495
169	0.01499396376
170	0.0149848641
171	0.01491580904
172	0.01486087854
173	0.01484815095
174	0.01481604792
175	0.01480563486
176	0.01477926746
177	0.01477014065
178	0.01469513639
179	0.01467998473
180	0.01460524571
181	0.01459613427
182	0.0145759693
183	0.01456019528
184	0.01450760197
185	0.01436169935
186	0.01427408985
187	0.01420703612
188	0.01413612817
189	0.01412789886
190	0.01408285842
191	0.01404965976
192	0.01403494922
193	0.0140140964
194	0.01400666205
195	0.01393342707
196	0.01389540383
197	0.01386135168
198	0.0138475488
199	0.01383432414
200	0.01379388667
201	0.01374271793
202	0.01371053396
203	0.01367948213
204	0.01366325672
205	0.01363622715
206	0.01360918492
207	0.01357071445
208	0.01352315694
209	0.01351653626
210	0.01345009376
211	0.01343537007
212	0.01337058099
213	0.01334108579
214	0.0132734829
215	0.01324907559
216	0.01318870301
217	0.01312112812
218	0.01305527958
219	0.01301443651
220	0.01295157681
221	0.01292719057
222	0.01289521008
223	0.01283468187
224	0.01280569074
225	0.01275998634
226	0.01274588311
227	0.01273242703
228	0.01272158281
229	0.01268814332
230	0.01264681745
231	0.01261875245
232	0.01258124852
233	0.0125681597
234	0.01255885392
235	0.01250835272
236	0.01247480697
237	0.01246269819
238	0.01242648052
239	0.0124194674
240	0.01236671978
241	0.01234556704
242	0.01231370442
243	0.01230019789
244	0.01224719669
245	0.01221702397
246	0.01219679172
247	0.01219083962
248	0.01218421762
249	0.01216111292
250	0.01212589365
251	0.01212052718
252	0.01209329196
253	0.01208782977
254	0.01204212709
255	0.01198238492
256	0.01195413547
257	0.01194849173
258	0.01193829691
259	0.0119297195
260	0.01188283634
261	0.01182511836
262	0.01181972106
263	0.01178217241
264	0.01177670126
265	0.0117292482
266	0.01171644182
267	0.01168285585
268	0.01163129624
269	0.01162403709
270	0.01161564341
271	0.01156444585
272	0.01154711148
273	0.01154253148
274	0.01153607844
275	0.01150666145
276	0.01148857217
277	0.01145828392
278	0.01140402308
279	0.01139904279
280	0.0113862294
281	0.01135672552
282	0.01135243757
283	0.01134468459
284	0.01131926486
285	0.01126494741
286	0.01125044793
